task,partition,num_dialogue_tokens,num_note_tokens
TaskA,validation,225,71
TaskA,validation,416,264
TaskA,validation,107,43
TaskA,validation,26,7
TaskA,validation,226,115
TaskA,validation,307,71
TaskA,validation,74,2
TaskA,validation,40,6
TaskA,validation,84,62
TaskA,validation,21,2
TaskA,validation,205,93
TaskA,validation,62,12
TaskA,validation,119,40
TaskA,validation,120,29
TaskA,validation,173,17
TaskA,validation,76,17
TaskA,validation,33,4
TaskA,validation,72,21
TaskA,validation,75,32
TaskA,validation,11,2
TaskA,validation,349,146
TaskA,validation,17,3
TaskA,validation,90,35
TaskA,validation,50,10
TaskA,validation,33,2
TaskA,validation,174,75
TaskA,validation,63,11
TaskA,validation,12,10
TaskA,validation,234,100
TaskA,validation,28,9
TaskA,validation,67,11
TaskA,validation,21,4
TaskA,validation,29,10
TaskA,validation,63,10
TaskA,validation,37,10
TaskA,validation,144,147
TaskA,validation,61,15
TaskA,validation,32,4
TaskA,validation,130,79
TaskB,train,1885,792
TaskB,train,1651,750
TaskB,train,1520,727
TaskB,train,1896,720
TaskB,train,761,201
TaskB,train,1634,759
TaskB,train,1307,619
TaskB,train,1775,802
TaskB,train,1152,603
TaskB,train,1471,518
TaskB,train,1129,522
TaskB,train,1398,697
TaskB,train,1156,497
TaskB,train,1280,548
TaskB,train,1341,556
TaskB,train,1645,704
TaskB,train,885,217
TaskB,train,1080,278
TaskB,train,1015,246
TaskB,train,1122,549
TaskB,train,3536,770
TaskB,train,2670,1218
TaskB,train,1628,617
TaskB,train,960,318
TaskB,train,2179,899
TaskB,train,2348,694
TaskB,train,2230,880
TaskB,train,2398,877
TaskB,train,1859,728
TaskB,train,2166,533
TaskB,train,1807,859
TaskB,train,1968,978
TaskB,train,931,413
TaskB,train,1169,536
TaskB,train,1405,511
TaskB,train,1387,505
TaskB,train,1310,500
TaskB,train,1038,548
TaskB,train,1920,458
TaskB,train,1706,508
TaskB,train,1665,717
TaskB,train,1130,645
TaskB,train,1742,694
TaskB,train,1467,424
TaskB,train,1237,459
TaskB,train,984,482
TaskB,train,1690,538
TaskB,train,1912,632
TaskB,train,1939,597
TaskB,train,1000,496
TaskB,train,1587,890
TaskB,train,1175,515
TaskB,train,1128,285
TaskB,train,1335,686
TaskB,train,1707,467
TaskB,train,1283,418
TaskB,train,1652,527
TaskB,train,1601,644
TaskB,train,1546,464
TaskB,train,1164,696
TaskB,train,1595,558
TaskB,train,1148,595
TaskB,train,1987,648
TaskB,train,1171,549
TaskB,train,1373,602
TaskB,train,1883,610
TaskB,train,1927,625
TaskB,validation,1742,762
TaskB,validation,1058,281
TaskB,validation,1972,769
TaskB,validation,1433,695
TaskB,validation,966,240
TaskB,validation,1629,522
TaskB,validation,1694,888
TaskB,validation,1513,757
TaskB,validation,1626,696
TaskB,validation,2079,835
TaskB,validation,1345,359
TaskB,validation,1100,515
TaskB,validation,1533,655
TaskB,validation,1285,617
TaskB,validation,1405,444
TaskB,validation,1048,418
TaskB,validation,1194,531
TaskB,validation,789,410
TaskB,validation,1629,1066
TaskB,validation,2175,755
TaskC,train,1885,792
TaskC,train,1651,750
TaskC,train,1520,727
TaskC,train,1896,720
TaskC,train,761,201
TaskC,train,1634,759
TaskC,train,1307,619
TaskC,train,1775,802
TaskC,train,1152,603
TaskC,train,1471,518
TaskC,train,1129,522
TaskC,train,1398,697
TaskC,train,1156,497
TaskC,train,1280,548
TaskC,train,1341,556
TaskC,train,1645,704
TaskC,train,885,217
TaskC,train,1080,278
TaskC,train,1015,246
TaskC,train,1122,549
TaskC,train,3536,770
TaskC,train,2670,1218
TaskC,train,1628,617
TaskC,train,960,318
TaskC,train,2179,899
TaskC,train,2348,694
TaskC,train,2230,880
TaskC,train,2398,877
TaskC,train,1859,728
TaskC,train,2166,533
TaskC,train,1807,859
TaskC,train,1968,978
TaskC,train,931,413
TaskC,train,1169,536
TaskC,train,1405,511
TaskC,train,1387,505
TaskC,train,1310,500
TaskC,train,1038,548
TaskC,train,1920,458
TaskC,train,1706,508
TaskC,train,1665,717
TaskC,train,1130,645
TaskC,train,1742,694
TaskC,train,1467,424
TaskC,train,1237,459
TaskC,train,984,482
TaskC,train,1690,538
TaskC,train,1912,632
TaskC,train,1939,597
TaskC,train,1000,496
TaskC,train,1587,890
TaskC,train,1175,515
TaskC,train,1128,285
TaskC,train,1335,686
TaskC,train,1707,467
TaskC,train,1283,418
TaskC,train,1652,527
TaskC,train,1601,644
TaskC,train,1546,464
TaskC,train,1164,696
TaskC,train,1595,558
TaskC,train,1148,595
TaskC,train,1987,648
TaskC,train,1171,549
TaskC,train,1373,602
TaskC,train,1883,610
TaskC,train,1927,625
TaskC,validation,1742,762
TaskC,validation,1058,281
TaskC,validation,1972,769
TaskC,validation,1433,695
TaskC,validation,966,240
TaskC,validation,1629,522
TaskC,validation,1694,888
TaskC,validation,1513,757
TaskC,validation,1626,696
TaskC,validation,2079,835
TaskC,validation,1345,359
TaskC,validation,1100,515
TaskC,validation,1533,655
TaskC,validation,1285,617
TaskC,validation,1405,444
TaskC,validation,1048,418
TaskC,validation,1194,531
TaskC,validation,789,410
TaskC,validation,1629,1066
TaskC,validation,2175,755
